        column_name         | character_maximum_length 
----------------------------+--------------------------
 company_state              |                        2
 personal_state             |                        2
 skiptrace_state            |                        2
 personal_zip4              |                        4
 company_naics              |                       10
 company_sic                |                       10
 company_zip                |                       10
 personal_zip               |                       10
 skiptrace_ethnic_code      |                       10
 skiptrace_language_code    |                       10
 skiptrace_zip              |                       10
 age_range                  |                       20
 company_phone              |                       20
 company_phone_10           |                       20
 company_phone_11           |                       20
 company_phone_12           |                       20
 company_phone_13           |                       20
 company_phone_14           |                       20
 company_phone_15           |                       20
 company_phone_16           |                       20
 company_phone_17           |                       20
 company_phone_18           |                       20
 company_phone_19           |                       20
 company_phone_2            |                       20
 company_phone_20           |                       20
 company_phone_21           |                       20
 company_phone_22           |                       20
 company_phone_23           |                       20
 company_phone_24           |                       20
 company_phone_25           |                       20
 company_phone_26           |                       20
 company_phone_27           |                       20
 company_phone_28           |                       20
 company_phone_29           |                       20
 company_phone_3            |                       20
 company_phone_30           |                       20
 company_phone_4            |                       20
 company_phone_5            |                       20
 company_phone_6            |                       20
 company_phone_7            |                       20
 company_phone_8            |                       20
 company_phone_9            |                       20
 direct_number              |                       20
 direct_number_10           |                       20
 direct_number_11           |                       20
 direct_number_12           |                       20
 direct_number_13           |                       20
 direct_number_14           |                       20
 direct_number_15           |                       20
 direct_number_16           |                       20
 direct_number_17           |                       20
 direct_number_18           |                       20
 direct_number_19           |                       20
 direct_number_2            |                       20
 direct_number_20           |                       20
 direct_number_21           |                       20
 direct_number_22           |                       20
 direct_number_23           |                       20
 direct_number_24           |                       20
 direct_number_25           |                       20
 direct_number_26           |                       20
 direct_number_27           |                       20
 direct_number_28           |                       20
 direct_number_29           |                       20
 direct_number_3            |                       20
 direct_number_30           |                       20
 direct_number_4            |                       20
 direct_number_5            |                       20
 direct_number_6            |                       20
 direct_number_7            |                       20
 direct_number_8            |                       20
 direct_number_9            |                       20
 gender                     |                       20
 mobile_phone               |                       20
 mobile_phone_10            |                       20
 mobile_phone_11            |                       20
 mobile_phone_12            |                       20
 mobile_phone_13            |                       20
 mobile_phone_14            |                       20
 mobile_phone_15            |                       20
 mobile_phone_16            |                       20
 mobile_phone_17            |                       20
 mobile_phone_18            |                       20
 mobile_phone_19            |                       20
 mobile_phone_2             |                       20
 mobile_phone_20            |                       20
 mobile_phone_21            |                       20
 mobile_phone_22            |                       20
 mobile_phone_23            |                       20
 mobile_phone_24            |                       20
 mobile_phone_25            |                       20
 mobile_phone_26            |                       20
 mobile_phone_27            |                       20
 mobile_phone_28            |                       20
 mobile_phone_29            |                       20
 mobile_phone_3             |                       20
 mobile_phone_30            |                       20
 mobile_phone_4             |                       20
 mobile_phone_5             |                       20
 mobile_phone_6             |                       20
 mobile_phone_7             |                       20
 mobile_phone_8             |                       20
 mobile_phone_9             |                       20
 normalized_phone           |                       20
 personal_phone             |                       20
 personal_phone_10          |                       20
 personal_phone_11          |                       20
 personal_phone_12          |                       20
 personal_phone_13          |                       20
 personal_phone_14          |                       20
 personal_phone_15          |                       20
 personal_phone_16          |                       20
 personal_phone_17          |                       20
 personal_phone_18          |                       20
 personal_phone_19          |                       20
 personal_phone_2           |                       20
 personal_phone_20          |                       20
 personal_phone_21          |                       20
 personal_phone_22          |                       20
 personal_phone_23          |                       20
 personal_phone_24          |                       20
 personal_phone_25          |                       20
